hcp_id,hcp_name,specialty,segment,territory,region,total_prescriptions,total_units_dispensed,average_monthly_prescriptions,active_months,product_breadth,total_calls,total_samples_received,average_call_duration,called_product_breadth,last_call_date,prescriptions_per_call,days_since_last_call,no_call_flag,recent_3m_units,previous_3m_units,recent_growth_pct,cluster_id,hcp_segment,segment_strategy,prescription_momentum,efficiency_for_scoring,value_score,momentum_score,low_call_score,recency_gap_score,undercoverage_score,efficiency_score,breadth_score,opportunity_score,segment_priority_rank,segment_score_percentile,priority_tier,recommended_action
H0148,Dr. HCP_0148,Pulmonologist,B,South-1,South,140,5264,14.0,10,5,33,132,21.97,5,2026-03-18,4.24,13,0,1268,1785,-28.96,0,Established High-Value,Maintain engagement and protect existing value,-0.34174929372205654,4.24,0.85,0.184,0.255,0.561,0.40800000000000003,0.709,0.638,56.4,58,0.6503067484662577,Medium Priority,Continue the current engagement cadence
H0149,Dr. HCP_0149,Cardiologist,A,Central-2,Central,20,812,2.0,8,3,3,13,20.33,3,2026-01-26,6.67,64,0,241,294,-18.03,2,Efficient High-Value,Prioritize selective engagement and expansion,-0.19803763018313347,6.67,0.164,0.292,0.87,0.842,0.856,0.869,0.13,46.5,77,0.037037037037037035,Low Priority,Maintain efficient coverage and monitor prescription behaviour
H0150,Dr. HCP_0150,General Physician,B,Central-2,Central,40,1664,4.0,10,4,7,18,21.0,4,2026-03-26,5.71,5,0,419,602,-30.4,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.36166248544977186,5.71,0.365,0.17,0.815,0.311,0.563,0.831,0.213,43.02,121,0.375,Low Priority,Monitor growth before increasing field engagement
H0151,Dr. HCP_0151,General Physician,C,West-1,West,28,1132,2.8,10,4,14,46,20.43,5,2026-03-19,2.0,12,0,429,327,31.19,1,Emerging Growth,Nurture growth through targeted follow-ups,0.2707716003034637,2.0,0.242,0.742,0.615,0.532,0.5735,0.26,0.213,42.47,125,0.355,Low Priority,Monitor growth before increasing field engagement
H0152,Dr. HCP_0152,Neurologist,B,North-2,North,117,5108,11.7,10,5,36,124,20.36,5,2026-03-27,3.25,4,0,1538,1454,5.78,0,Established High-Value,Maintain engagement and protect existing value,0.056126954233286064,3.25,0.832,0.558,0.22499999999999998,0.262,0.2435,0.403,0.638,54.63,64,0.6073619631901841,Medium Priority,Continue the current engagement cadence
H0153,Dr. HCP_0153,General Physician,A,North-2,North,130,4822,13.0,10,5,17,46,20.06,5,2026-03-24,7.65,7,0,1507,1165,29.36,2,Efficient High-Value,Prioritize selective engagement and expansion,0.2572051816574641,7.65,0.802,0.732,0.522,0.399,0.4605,0.9,0.638,70.09,19,0.7777777777777778,Medium Priority,Review for incremental engagement without excessive call frequency
H0154,Dr. HCP_0154,Cardiologist,B,Central-2,Central,49,2095,4.9,10,5,15,62,20.13,5,2026-03-30,3.27,1,0,556,589,-5.6,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.057557296972480465,3.27,0.454,0.42,0.577,0.092,0.33449999999999996,0.409,0.638,42.9,122,0.37,Low Priority,Monitor growth before increasing field engagement
H0155,Dr. HCP_0155,Neurologist,C,East-2,East,25,1055,2.5,10,5,18,83,21.89,5,2026-03-31,1.39,0,0,289,310,-6.77,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.06991198919871433,1.39,0.224,0.404,0.492,0.029,0.2605,0.123,0.638,29.54,176,0.1,Low Priority,Monitor growth before increasing field engagement
H0156,Dr. HCP_0156,Cardiologist,B,East-2,East,58,2471,5.8,10,5,15,54,19.13,5,2026-03-03,3.87,28,0,624,1028,-39.3,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.49859108609764835,3.87,0.53,0.108,0.577,0.754,0.6655,0.638,0.638,50.65,65,0.6725,Medium Priority,Nurture through planned follow-ups and monitor momentum
H0157,Dr. HCP_0157,Oncologist,B,North-1,North,73,3063,7.3,10,5,23,100,18.39,5,2026-03-18,3.17,13,0,829,851,-2.59,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.02616082603867209,3.17,0.632,0.44,0.396,0.561,0.47850000000000004,0.387,0.638,51.91,56,0.72,Medium Priority,Nurture through planned follow-ups and monitor momentum
H0158,Dr. HCP_0158,Oncologist,C,North-2,North,106,4285,10.6,10,5,63,213,21.86,5,2026-03-30,1.68,1,0,1308,1353,-3.33,0,Established High-Value,Maintain engagement and protect existing value,-0.0337996875623201,1.68,0.764,0.436,0.03600000000000003,0.092,0.06400000000000002,0.19,0.638,42.47,132,0.17791411042944785,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0159,Dr. HCP_0159,General Physician,B,West-2,West,32,1259,3.2,9,5,13,40,24.62,5,2026-03-04,2.46,27,0,293,181,61.88,1,Emerging Growth,Nurture growth through targeted follow-ups,0.4795730802618863,2.46,0.266,0.872,0.655,0.746,0.7005,0.3,0.638,53.81,45,0.775,Medium Priority,Nurture through planned follow-ups and monitor momentum
H0160,Dr. HCP_0160,Endocrinologist,C,West-1,West,30,1128,3.0,10,5,29,128,21.97,5,2026-03-23,1.03,8,0,281,454,-38.11,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.4783903480128364,1.03,0.24,0.112,0.31299999999999994,0.431,0.372,0.034,0.638,25.63,190,0.03,Low Priority,Monitor growth before increasing field engagement
H0161,Dr. HCP_0161,Neurologist,B,Central-2,Central,40,1546,4.0,10,5,14,67,22.14,5,2026-03-22,2.86,9,0,542,401,35.16,1,Emerging Growth,Nurture growth through targeted follow-ups,0.30065723131491406,2.86,0.338,0.774,0.615,0.454,0.5345,0.346,0.638,50.55,68,0.655,Medium Priority,Nurture through planned follow-ups and monitor momentum
H0162,Dr. HCP_0162,Oncologist,B,West-2,West,48,1716,4.8,10,5,13,37,22.23,5,2026-03-06,3.69,25,0,584,454,28.63,1,Emerging Growth,Nurture growth through targeted follow-ups,0.25131442828090655,3.69,0.374,0.726,0.655,0.727,0.6910000000000001,0.597,0.638,58.35,25,0.875,High Priority,Prioritize targeted follow-ups to support continued growth
H0163,Dr. HCP_0163,Endocrinologist,B,East-2,East,51,2242,5.1,10,5,10,49,18.8,5,2026-03-10,5.1,21,0,670,530,26.42,1,Emerging Growth,Nurture growth through targeted follow-ups,0.2340071157297432,5.1,0.486,0.706,0.74,0.672,0.706,0.786,0.638,64.52,9,0.96,High Priority,Prioritize targeted follow-ups to support continued growth
H0164,Dr. HCP_0164,Oncologist,B,East-1,East,4,168,0.4,4,1,0,0,0.0,0,,,304,1,39,76,-48.68,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,-0.6549259677397479,3.45,0.07,0.074,0.943,0.945,0.944,0.501,0.054,35.24,28,0.25,Low Priority,Deprioritize until meaningful prescription activity appears
H0165,Dr. HCP_0165,Neurologist,A,West-2,West,34,1297,3.4,10,4,2,8,30.0,2,2025-08-05,17.0,238,0,485,202,140.1,2,Efficient High-Value,Prioritize selective engagement and expansion,0.8730026448587065,17.0,0.279,0.962,0.881,0.886,0.8835,0.998,0.213,66.8,32,0.6172839506172839,Medium Priority,Review for incremental engagement without excessive call frequency
H0166,Dr. HCP_0166,Cardiologist,C,East-2,East,24,998,2.4,7,5,14,55,19.93,5,2026-03-31,1.71,0,0,256,156,64.1,1,Emerging Growth,Nurture growth through targeted follow-ups,0.4928302795469124,1.71,0.208,0.882,0.615,0.029,0.322,0.201,0.638,41.32,132,0.32,Low Priority,Monitor growth before increasing field engagement
H0167,Dr. HCP_0167,Endocrinologist,B,East-2,East,23,1073,2.3,8,4,9,29,22.67,4,2026-03-25,2.56,6,0,140,301,-53.49,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.7616671269967012,2.56,0.23,0.062,0.762,0.356,0.5589999999999999,0.314,0.213,28.96,180,0.08,Low Priority,Monitor growth before increasing field engagement
H0168,Dr. HCP_0168,Pulmonologist,A,South-2,South,140,5574,14.0,10,5,21,75,22.71,5,2026-03-27,6.67,4,0,1632,1789,-8.78,2,Efficient High-Value,Prioritize selective engagement and expansion,-0.0917968058643357,6.67,0.872,0.388,0.43400000000000005,0.262,0.34800000000000003,0.869,0.638,62.04,46,0.4444444444444444,Low Priority,Maintain efficient coverage and monitor prescription behaviour
H0169,Dr. HCP_0169,Pulmonologist,A,East-2,East,73,3193,7.3,10,4,8,41,21.75,4,2026-03-27,9.13,4,0,1435,780,83.97,2,Efficient High-Value,Prioritize selective engagement and expansion,0.6090415997684833,9.13,0.652,0.914,0.787,0.262,0.5245,0.952,0.213,67.36,30,0.6419753086419753,Medium Priority,Review for incremental engagement without excessive call frequency
H0170,Dr. HCP_0170,Cardiologist,B,Central-1,Central,106,4141,10.6,10,5,29,126,21.21,5,2026-03-11,3.66,20,0,1128,1366,-17.42,0,Established High-Value,Maintain engagement and protect existing value,-0.19128627257428743,3.66,0.756,0.294,0.31299999999999994,0.661,0.487,0.593,0.638,56.01,61,0.6257668711656442,Medium Priority,Continue the current engagement cadence
H0171,Dr. HCP_0171,Endocrinologist,B,North-2,North,142,5649,14.2,10,5,37,158,21.76,5,2026-03-31,3.84,0,0,1736,1652,5.08,0,Established High-Value,Maintain engagement and protect existing value,0.04956766842008076,3.84,0.882,0.552,0.21599999999999997,0.029,0.12249999999999998,0.63,0.638,56.39,59,0.6411042944785276,Medium Priority,Continue the current engagement cadence
H0172,Dr. HCP_0172,Neurologist,A,West-2,West,48,2011,4.8,10,3,3,11,17.33,2,2025-12-25,16.0,96,0,621,529,17.39,2,Efficient High-Value,Prioritize selective engagement and expansion,0.1600630861930119,16.0,0.432,0.658,0.87,0.87,0.87,0.996,0.13,64.11,40,0.5185185185185185,Medium Priority,Review for incremental engagement without excessive call frequency
H0173,Dr. HCP_0173,General Physician,B,West-2,West,72,2912,7.2,10,5,19,87,17.37,5,2026-03-28,3.79,3,0,1218,639,90.61,1,Emerging Growth,Nurture growth through targeted follow-ups,0.6443179531275538,3.79,0.608,0.922,0.46499999999999997,0.212,0.33849999999999997,0.618,0.638,60.79,21,0.895,High Priority,Prioritize targeted follow-ups to support continued growth
H0174,Dr. HCP_0174,Cardiologist,B,West-2,West,52,2213,5.2,10,5,16,66,21.06,5,2026-03-25,3.25,6,0,738,607,21.58,1,Emerging Growth,Nurture growth through targeted follow-ups,0.1951230389820342,3.25,0.484,0.68,0.5489999999999999,0.356,0.45249999999999996,0.403,0.638,51.86,57,0.715,Medium Priority,Nurture through planned follow-ups and monitor momentum
H0175,Dr. HCP_0175,Endocrinologist,B,East-1,East,4,152,0.4,4,2,0,0,0.0,0,,,304,1,26,72,-63.89,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,-0.9946225751440618,3.45,0.064,0.04,0.943,0.945,0.944,0.501,0.092,34.75,30,0.21428571428571427,Low Priority,Deprioritize until meaningful prescription activity appears
H0176,Dr. HCP_0176,Pulmonologist,A,South-2,South,218,7683,21.8,10,5,31,132,19.16,5,2026-03-29,7.03,2,0,2718,1819,49.42,2,Efficient High-Value,Prioritize selective engagement and expansion,0.4014276645616297,7.03,0.954,0.838,0.28300000000000003,0.158,0.22050000000000003,0.88,0.638,70.47,18,0.7901234567901234,Medium Priority,Review for incremental engagement without excessive call frequency
H0177,Dr. HCP_0177,Neurologist,B,West-2,West,52,2182,5.2,10,4,10,32,15.2,4,2026-03-07,5.2,24,0,789,581,35.8,1,Emerging Growth,Nurture growth through targeted follow-ups,0.3055624977296292,5.2,0.478,0.778,0.74,0.716,0.728,0.797,0.213,62.18,16,0.9225,High Priority,Prioritize targeted follow-ups to support continued growth
H0178,Dr. HCP_0178,General Physician,B,West-1,West,22,777,2.2,9,4,8,33,20.0,4,2026-03-21,2.75,10,0,154,174,-11.49,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.12136085700426769,2.75,0.156,0.344,0.787,0.475,0.631,0.327,0.213,34.37,165,0.155,Low Priority,Monitor growth before increasing field engagement
H0179,Dr. HCP_0179,General Physician,C,East-2,East,16,633,1.6,9,4,12,50,19.58,4,2026-02-10,1.33,49,0,165,216,-23.61,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.26790956518391607,1.33,0.132,0.238,0.69,0.821,0.7555,0.108,0.213,31.36,172,0.12,Low Priority,Monitor growth before increasing field engagement
H0180,Dr. HCP_0180,Pulmonologist,A,East-1,East,2,75,0.2,2,1,0,0,0.0,0,,,304,1,26,0,,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,3.295836866004329,3.45,0.05,0.994,0.943,0.945,0.944,0.501,0.054,53.04,8,0.875,High Priority,Validate prescribing potential and consider initiating outreach
H0181,Dr. HCP_0181,Cardiologist,B,South-2,South,218,8432,21.8,10,5,40,147,21.73,5,2026-03-13,5.45,18,0,2231,2725,-18.13,0,Established High-Value,Maintain engagement and protect existing value,-0.19993728875527594,5.45,0.972,0.288,0.17700000000000005,0.637,0.40700000000000003,0.818,0.638,63.74,19,0.8895705521472392,High Priority,Protect existing value and maintain consistent engagement
H0182,Dr. HCP_0182,Cardiologist,A,East-2,East,63,2455,6.3,10,5,7,34,17.57,3,2026-03-31,9.0,0,0,826,563,46.71,2,Efficient High-Value,Prioritize selective engagement and expansion,0.3827504435256319,9.0,0.528,0.83,0.815,0.029,0.422,0.948,0.638,63.59,43,0.48148148148148145,Low Priority,Maintain efficient coverage and monitor prescription behaviour
H0183,Dr. HCP_0183,Endocrinologist,C,South-2,South,89,3395,8.9,10,5,72,298,18.44,5,2026-03-31,1.24,0,0,818,1300,-37.08,0,Established High-Value,Maintain engagement and protect existing value,-0.4628043946594351,1.24,0.682,0.128,0.017000000000000015,0.029,0.023000000000000007,0.084,0.638,31.24,156,0.024539877300613498,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0184,Dr. HCP_0184,General Physician,C,East-1,East,4,209,0.4,3,1,0,0,0.0,0,,,304,1,0,48,-100.0,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,-3.8918202981106265,3.45,0.078,0.012,0.943,0.945,0.944,0.501,0.054,34.24,32,0.17857142857142858,Low Priority,Deprioritize until meaningful prescription activity appears
H0185,Dr. HCP_0185,Endocrinologist,B,North-2,North,147,5915,14.7,10,5,38,152,22.84,5,2026-03-30,3.87,1,0,1374,1977,-30.5,0,Established High-Value,Maintain engagement and protect existing value,-0.3636325020819857,3.87,0.898,0.168,0.20299999999999996,0.092,0.14749999999999996,0.638,0.638,49.94,92,0.4233128834355828,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0186,Dr. HCP_0186,Pulmonologist,B,South-2,South,160,6613,16.0,10,5,33,110,20.15,5,2026-03-21,4.85,10,0,1999,2210,-9.55,0,Established High-Value,Maintain engagement and protect existing value,-0.10029772131536419,4.85,0.928,0.374,0.255,0.475,0.365,0.77,0.638,62.37,27,0.8404907975460123,High Priority,Protect existing value and maintain consistent engagement
H0187,Dr. HCP_0187,Cardiologist,C,East-1,East,9,429,0.9,7,2,0,0,0.0,0,,,304,1,114,57,100.0,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,0.6844891178168311,3.45,0.108,0.944,0.943,0.945,0.944,0.501,0.092,54.15,5,0.9285714285714286,High Priority,Validate prescribing potential and consider initiating outreach
H0188,Dr. HCP_0188,Cardiologist,B,East-1,East,0,0,0.0,0,0,0,0,0.0,0,,,304,1,0,0,,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,0.0,3.45,0.017,0.486,0.943,0.945,0.944,0.501,0.017,41.51,16,0.5982142857142857,Medium Priority,Review prescription activity before allocating field effort
H0189,Dr. HCP_0189,Pulmonologist,B,Central-1,Central,153,6162,15.3,10,5,34,133,20.06,5,2026-03-29,4.5,2,0,1497,2020,-25.89,0,Established High-Value,Maintain engagement and protect existing value,-0.29946155332645663,4.5,0.91,0.218,0.243,0.158,0.2005,0.729,0.638,53.99,66,0.5950920245398773,Medium Priority,Continue the current engagement cadence
H0190,Dr. HCP_0190,Cardiologist,B,West-2,West,78,2891,7.8,10,5,15,66,16.07,5,2026-02-27,5.2,32,0,1211,779,55.46,1,Emerging Growth,Nurture growth through targeted follow-ups,0.440733246945622,5.2,0.606,0.848,0.577,0.769,0.673,0.797,0.638,70.3,1,1.0,High Priority,Prioritize targeted follow-ups to support continued growth
H0191,Dr. HCP_0191,Pulmonologist,A,Central-2,Central,18,699,1.8,9,4,4,3,21.0,3,2026-02-01,4.5,58,0,273,189,44.44,1,Emerging Growth,Nurture growth through targeted follow-ups,0.3661040342275843,4.5,0.136,0.818,0.859,0.834,0.8465,0.729,0.213,54.67,40,0.8,High Priority,Prioritize targeted follow-ups to support continued growth
H0192,Dr. HCP_0192,Oncologist,C,West-2,West,16,586,1.6,7,5,13,56,23.92,5,2026-03-18,1.23,13,0,55,281,-80.43,1,Emerging Growth,Nurture growth through targeted follow-ups,-1.6165553802029642,1.23,0.124,0.024,0.655,0.561,0.6080000000000001,0.079,0.638,26.97,185,0.055,Low Priority,Monitor growth before increasing field engagement
H0193,Dr. HCP_0193,Cardiologist,C,South-1,South,64,2719,6.4,10,5,39,130,20.08,5,2026-03-30,1.64,1,0,911,837,8.84,0,Established High-Value,Maintain engagement and protect existing value,0.08462188959224815,1.64,0.582,0.588,0.18999999999999995,0.092,0.14099999999999996,0.176,0.638,41.76,134,0.1656441717791411,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0194,Dr. HCP_0194,Cardiologist,B,West-2,West,47,1871,4.7,10,5,15,49,19.13,5,2026-03-31,3.13,0,0,775,494,56.88,1,Emerging Growth,Nurture growth through targeted follow-ups,0.4495947576145287,3.13,0.402,0.856,0.577,0.029,0.303,0.377,0.638,48.79,79,0.595,Medium Priority,Nurture through planned follow-ups and monitor momentum
H0195,Dr. HCP_0195,Oncologist,B,West-1,West,30,1378,3.0,10,5,11,46,19.45,5,2026-03-28,2.73,3,0,533,434,22.81,1,Emerging Growth,Nurture growth through targeted follow-ups,0.20504980787151084,2.73,0.294,0.688,0.716,0.212,0.46399999999999997,0.324,0.638,45.42,101,0.475,Low Priority,Monitor growth before increasing field engagement
H0196,Dr. HCP_0196,General Physician,B,Central-2,Central,34,1297,3.4,10,5,13,58,22.77,5,2026-03-20,2.62,11,0,417,412,1.21,1,Emerging Growth,Nurture growth through targeted follow-ups,0.01203383956372317,2.62,0.279,0.522,0.655,0.5,0.5775,0.316,0.638,44.37,112,0.42,Low Priority,Monitor growth before increasing field engagement
H0197,Dr. HCP_0197,Endocrinologist,C,South-1,South,61,2393,6.1,10,5,37,130,22.32,5,2026-03-13,1.65,18,0,913,583,56.6,0,Established High-Value,Maintain engagement and protect existing value,0.44792958862592247,1.65,0.506,0.854,0.21599999999999997,0.637,0.4265,0.18,0.638,52.0,78,0.5214723926380368,Medium Priority,Continue the current engagement cadence
H0198,Dr. HCP_0198,Endocrinologist,C,North-2,North,123,5061,12.3,10,5,56,215,18.96,5,2026-03-16,2.2,15,0,1343,1350,-0.52,0,Established High-Value,Maintain engagement and protect existing value,-0.0051948168771041026,2.2,0.826,0.458,0.061000000000000054,0.597,0.329,0.285,0.638,52.82,74,0.5460122699386503,Medium Priority,Continue the current engagement cadence
H0199,Dr. HCP_0199,Oncologist,C,Central-1,Central,68,2838,6.8,10,5,35,131,22.14,5,2026-03-30,1.94,1,0,809,892,-9.3,0,Established High-Value,Maintain engagement and protect existing value,-0.09755233321001455,1.94,0.596,0.38,0.23399999999999999,0.092,0.16299999999999998,0.247,0.638,39.64,140,0.12883435582822086,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0200,Dr. HCP_0200,Oncologist,C,Central-1,Central,75,2807,7.5,10,5,49,167,19.37,5,2026-03-28,1.53,3,0,821,931,-11.82,0,Established High-Value,Maintain engagement and protect existing value,-0.12559241962941137,1.53,0.59,0.34,0.10099999999999998,0.212,0.15649999999999997,0.149,0.638,37.03,147,0.08588957055214724,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0201,Dr. HCP_0201,Pulmonologist,B,West-2,West,49,2014,4.9,9,5,16,53,22.0,5,2026-03-22,3.06,9,0,566,596,-5.03,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.051557809664850573,3.06,0.436,0.426,0.5489999999999999,0.454,0.5015,0.366,0.638,46.01,98,0.4925,Low Priority,Monitor growth before increasing field engagement
H0202,Dr. HCP_0202,Neurologist,A,East-1,East,5,279,0.5,3,1,0,0,0.0,0,,,304,1,0,58,-100.0,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,-4.07753744390572,3.45,0.09,0.006,0.943,0.945,0.944,0.501,0.054,34.48,31,0.19642857142857142,Low Priority,Deprioritize until meaningful prescription activity appears
H0203,Dr. HCP_0203,General Physician,A,Central-2,Central,48,2063,4.8,10,4,5,21,23.8,3,2026-03-12,9.6,19,0,487,822,-40.75,2,Efficient High-Value,Prioritize selective engagement and expansion,-0.5226407948239222,9.6,0.444,0.102,0.846,0.651,0.7484999999999999,0.96,0.213,50.6,70,0.12345679012345678,Low Priority,Maintain efficient coverage and monitor prescription behaviour
H0204,Dr. HCP_0204,General Physician,C,South-2,South,127,4964,12.7,10,5,75,287,18.05,5,2026-03-26,1.69,5,0,1729,1588,8.88,0,Established High-Value,Maintain engagement and protect existing value,0.08501652095510792,1.69,0.816,0.594,0.01200000000000001,0.311,0.1615,0.195,0.638,49.7,94,0.4110429447852761,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0205,Dr. HCP_0205,General Physician,B,East-1,East,2,61,0.2,2,1,0,0,0.0,0,,,304,1,0,31,-100.0,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,-3.4657359027997265,3.45,0.044,0.014,0.943,0.945,0.944,0.501,0.054,33.26,38,0.07142857142857142,Low Priority,Deprioritize until meaningful prescription activity appears
H0206,Dr. HCP_0206,Endocrinologist,A,South-1,South,117,4757,11.7,10,5,12,41,19.25,5,2026-03-24,9.75,7,0,1724,1556,10.8,2,Efficient High-Value,Prioritize selective engagement and expansion,0.10246615763146139,9.75,0.8,0.616,0.69,0.399,0.5445,0.964,0.638,70.77,14,0.8395061728395061,High Priority,Prioritize selective outreach and evaluate expansion opportunities
H0207,Dr. HCP_0207,Cardiologist,A,Central-1,Central,62,2170,6.2,10,5,9,46,22.33,4,2026-03-14,6.89,17,0,485,773,-37.26,2,Efficient High-Value,Prioritize selective engagement and expansion,-0.4653632496892337,6.89,0.474,0.122,0.762,0.622,0.692,0.876,0.638,53.48,68,0.14814814814814814,Low Priority,Maintain efficient coverage and monitor prescription behaviour
H0208,Dr. HCP_0208,Oncologist,B,North-1,North,132,5643,13.2,10,5,40,181,18.05,5,2026-03-31,3.3,0,0,1818,1315,38.25,0,Established High-Value,Maintain engagement and protect existing value,0.32369006663285926,3.3,0.88,0.794,0.17700000000000005,0.029,0.10300000000000002,0.415,0.638,57.46,50,0.6993865030674846,Medium Priority,Continue the current engagement cadence
H0209,Dr. HCP_0209,Oncologist,A,Central-2,Central,61,2622,6.1,10,5,9,35,20.67,5,2026-03-09,6.78,22,0,873,535,63.18,2,Efficient High-Value,Prioritize selective engagement and expansion,0.4889462145847334,6.78,0.564,0.876,0.762,0.682,0.722,0.872,0.638,71.95,9,0.9012345679012346,High Priority,Prioritize selective outreach and evaluate expansion opportunities
H0210,Dr. HCP_0210,Endocrinologist,A,North-1,North,79,3317,7.9,10,5,15,56,20.0,5,2026-03-21,5.27,10,0,514,1282,-59.91,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.9127894639519001,5.27,0.672,0.042,0.577,0.475,0.526,0.806,0.638,52.62,51,0.745,Medium Priority,Nurture through planned follow-ups and monitor momentum
H0211,Dr. HCP_0211,General Physician,B,East-1,East,4,194,0.4,4,1,0,0,0.0,0,,,304,1,58,96,-39.58,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,-0.4971735345976631,3.45,0.076,0.11,0.943,0.945,0.944,0.501,0.054,36.14,25,0.30357142857142855,Low Priority,Deprioritize until meaningful prescription activity appears
H0212,Dr. HCP_0212,General Physician,B,North-2,North,195,7660,19.5,10,5,39,136,18.33,5,2026-03-28,5.0,3,0,2136,1954,9.31,0,Established High-Value,Maintain engagement and protect existing value,0.0890127828996814,5.0,0.952,0.6,0.18999999999999995,0.212,0.20099999999999996,0.778,0.638,63.64,21,0.8773006134969326,High Priority,Protect existing value and maintain consistent engagement
H0213,Dr. HCP_0213,General Physician,B,East-1,East,3,125,0.3,3,1,0,0,0.0,0,,,304,1,0,49,-100.0,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,-3.912023005428146,3.45,0.06,0.01,0.943,0.945,0.944,0.501,0.054,33.66,36,0.10714285714285714,Low Priority,Deprioritize until meaningful prescription activity appears
H0214,Dr. HCP_0214,Cardiologist,B,West-1,West,26,1034,2.6,10,5,13,48,20.38,5,2026-02-27,2.0,32,0,295,268,10.07,1,Emerging Growth,Nurture growth through targeted follow-ups,0.09564807472222103,2.0,0.218,0.606,0.655,0.769,0.712,0.26,0.638,46.74,93,0.5225,Medium Priority,Nurture through planned follow-ups and monitor momentum
H0215,Dr. HCP_0215,Pulmonologist,C,South-1,South,66,2987,6.6,10,5,40,150,18.45,5,2026-03-22,1.65,9,0,905,899,0.67,0,Established High-Value,Maintain engagement and protect existing value,0.006644542718668767,1.65,0.616,0.514,0.17700000000000005,0.454,0.3155,0.18,0.638,45.73,116,0.27607361963190186,Low Priority,Avoid over-servicing and monitor for meaningful changes
H0216,Dr. HCP_0216,Cardiologist,B,North-2,North,120,5223,12.0,10,5,43,211,19.88,5,2026-03-26,2.79,5,0,1849,1727,7.06,0,Established High-Value,Maintain engagement and protect existing value,0.06822096870836969,2.79,0.842,0.57,0.14300000000000002,0.311,0.227,0.336,0.638,53.76,67,0.588957055214724,Medium Priority,Continue the current engagement cadence
H0217,Dr. HCP_0217,Neurologist,B,East-1,East,0,0,0.0,0,0,0,0,0.0,0,,,304,1,0,0,,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,0.0,3.45,0.017,0.486,0.943,0.945,0.944,0.501,0.017,41.51,16,0.5982142857142857,Medium Priority,Review prescription activity before allocating field effort
H0218,Dr. HCP_0218,Cardiologist,C,West-2,West,27,1059,2.7,9,5,23,77,18.87,5,2026-03-29,1.17,2,0,261,365,-28.49,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.3342888296402693,1.17,0.226,0.19,0.396,0.158,0.277,0.064,0.638,24.84,192,0.02,Low Priority,Monitor growth before increasing field engagement
H0219,Dr. HCP_0219,General Physician,B,East-1,East,6,193,0.6,5,2,0,0,0.0,0,,,304,1,119,44,170.45,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,0.9808292530117262,3.45,0.074,0.974,0.943,0.945,0.944,0.501,0.092,53.73,6,0.9107142857142857,High Priority,Validate prescribing potential and consider initiating outreach
H0220,Dr. HCP_0220,Neurologist,C,East-1,East,1,21,0.1,1,1,0,0,0.0,0,,,304,1,0,21,-100.0,3,Uncovered HCPs,Evaluate active prescribers before initiating outreach,-3.091042453358316,3.45,0.034,0.02,0.943,0.945,0.944,0.501,0.054,33.07,40,0.017857142857142856,Low Priority,Deprioritize until meaningful prescription activity appears
H0221,Dr. HCP_0221,Cardiologist,B,West-2,West,42,1715,4.2,10,5,11,40,14.73,4,2026-03-13,3.82,18,0,527,416,26.68,1,Emerging Growth,Nurture growth through targeted follow-ups,0.23601006190745988,3.82,0.372,0.71,0.716,0.637,0.6765,0.626,0.638,58.04,27,0.865,High Priority,Prioritize targeted follow-ups to support continued growth
H0222,Dr. HCP_0222,General Physician,B,West-1,West,50,2126,5.0,10,4,12,45,15.08,5,2026-02-21,4.17,38,0,594,737,-19.4,1,Emerging Growth,Nurture growth through targeted follow-ups,-0.21538241905484234,4.17,0.468,0.278,0.69,0.793,0.7415,0.698,0.213,50.74,64,0.68,Medium Priority,Nurture through planned follow-ups and monitor momentum
